tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_specimens	geologic_classes	geologic_types	height	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vgp_lat	vgp_lon
1.45			0.03	Ma		This study								Intrusive	Volcanic Dike		1.43e-05	1.62e-05	1.21e-05				6	20.83471	Alkali Basalt	Hawaiian Islands	203.40192	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU111	BiCEP_GUI	MU111A01:MU111A02:MU111A03:MU111A04:MU111A05:MU111A06					
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									20.83564	Basalt	Hawaiian Islands	203.40215	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU112							
1.1			0.03	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Other:Lava Flow		4.3700000000000005e-05	4.97e-05	3.810000000000001e-05	3.89e-06	8.95		8	20.78467	Bomb Tephra:Basalt	Hawaiian Islands	203.45107	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU113	BiCEP_GUI	MU113A01:MU113B01:MU113C01:MU113D01:MU113D02:MU113B02:MU113D03:MU113D04					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.3388	Basalt	Hawaiian Islands	202.14168	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA001							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.33796	Basalt	Hawaiian Islands	202.1435	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA002							
2.55			0.04	Ma		This study								Extrusive	Lava Flow		2.92e-05	3.13e-05	2.69e-05				11	21.29434	Basalt	Hawaiian Islands	202.18877	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA003	BiCEP_GUI	OA003B01:OA003B02:OA003B03:OA003B05:OA003B07:OA003B08:OA003C01:OA003C02:OA003C04:OA003B09:OA003B10					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.29416	Basalt	Hawaiian Islands	202.18882	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA004							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.29372	Basalt	Hawaiian Islands	202.18887	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA005							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.29372	Basalt	Hawaiian Islands	202.18887	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA006							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.29372	Basalt	Hawaiian Islands	202.18887	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA007							
3.71			0.03	Ma		This study								Extrusive	Lava Flow		2.02e-05	2.62e-05	1.49e-05				4	21.4044	Basalt	Hawaiian Islands	201.82539	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA008	BiCEP_GUI	OA008A01:OA008A02:OA008B02:OA008B03					
