tab 	samples
azimuth	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	sample	site
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML016C	ML016
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU100A	MU100
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU101A	MU101
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU102A	MU102
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU103A	MU103
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU104A	MU104
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU105A	MU105
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU107A	MU107
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU107B	MU107
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU108A	MU108
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU110A	MU110
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU112A	MU112
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU113A	MU113
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU113C	MU113
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML002A	ML002
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML006A	ML006
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML010A	ML010
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML016A	ML016
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML016B	ML016
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML016D	ML016
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.85		166.75	FS-H	mc1002a	mc1002
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.84		166.76	FS-H	mc1003b	mc1003
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.84		166.69	FS-H	mc1004d	mc1004
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.83		166.66	FS-H	mc1006b	mc1006
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.8		166.78	FS-H	mc1007a	mc1007
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.8		166.84	FS-H	mc1008a	mc1008
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.55		166.2	FS-H	mc1009a	mc1009
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	FS-H	mc1010a	mc1010
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	FS-H	mc1011c	mc1011
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.46		169.21	FS-H	mc1014b	mc1014
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.88		165.3	FS-H	mc1019b	mc1019
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.88		165.03	FS-H	mc1020a	mc1020
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.88		165.03	FS-H	mc1020b	mc1020
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.31		164.79	FS-H	mc1029a	mc1029
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.31		164.79	FS-H	mc1029b	mc1029
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.31		164.79	FS-H	mc1029c	mc1029
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.34		164.88	FS-H	mc1030b	mc1030
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.35		164.3	FS-H	mc1031b	mc1031
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.37		164.34	FS-H	mc1033a	mc1033
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.39		164.27	FS-H	mc1034b	mc1034
