tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_b_beta	int_cdrat	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_dang	int_drat	int_drats	int_f	int_frac	int_fvds	int_g	int_gmax	int_k	int_k_max	int_k_min	int_k_prime	int_mad_coe	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_scat	int_treat_dc_field	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
														This Study											1.6e-05	1.6800000000000002e-05	1.53e-05							1.812444284772469	9.16090946711187							-0.436	-0.336	-0.537		1.9478113227976976	1.8771601418464765						853.0	373.0	Kelvin	IE-BICEP		MU013A		MU013A02
														This Study											1.7800000000000002e-05	1.9e-05	1.66e-05							2.301580647111255	4.14681192100102							-0.254	-0.108	-0.399		1.7515666883275367	1.7710116865612702						853.0	273.0	Kelvin	IE-BICEP		MU013B		MU013B01
														This Study											1.62e-05	1.7e-05	1.53e-05							4.809092296392644	4.534112186837232							-0.333	-0.216	-0.449		3.2550881458177967	3.446952088074982						853.0	273.0	Kelvin	IE-BICEP		MU013B		MU013B02
														This Study											1.6100000000000002e-05	1.66e-05	1.56e-05							2.5317852908364844	2.7953438403567525							-0.236	-0.16	-0.315		1.3543785983470829	1.866681679415617						853.0	373.0	Kelvin	IE-BICEP		MU013C		MU013C01
														This Study											1.7e-05	1.8e-05	1.6100000000000002e-05							4.6247407507577565	2.6001986134184434							-0.212	-0.093	-0.33		3.533892119754968	3.496497890350076						853.0	273.0	Kelvin	IE-BICEP		MU013C		MU013C02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU014A		MU014A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU015A		MU015A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU016A		MU016A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU016B		MU016B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU016B		MU016B02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU017A		MU017A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU017B		MU017B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU018A		MU018A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU019A		MU019A01
