tab 	sites
age	age_high	age_low	age_sigma	age_unit	citations	description	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	vadm	vadm_n_samples	vadm_sigma
0.401	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	2.56e-05			1.28e-06	5.0	3	3	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h161b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.71e+22		2.85e+21
0.40279	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.53e-05			3.92e-06	11.11	5	3	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h162a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.87e+22		8.74e+21
0.4031	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	2.97e-05			1.65e-06	5.55	4	4	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h164a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	6.62e+22		3.68e+21
0.4	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study		Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.32e-05	3.89e-05	2.75e-05	2.849999999999999e-06	8.584337349397586		4347	19.8278	Basalt	HSDP2	205.0917	IE-BICEP	g	h168b		7.402427559352254e+22		6.354493537395759e+21
0.0774	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	2.61e-05			1.3e-06	4.97	9	9	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h16a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.82e+22		2.9e+21
0.0875	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	4.12e-05			1.98e-06	4.8	4	4	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h20a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	9.19e+22		4.41e+21
0.0955	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study		Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	1.44e-05	1.89e-05	1e-05	2.2249999999999994e-06	15.451388888888886		4347	19.8278	Basalt	HSDP2	205.0917	IE-BICEP	g	h22b		3.210691471526279e+22		4.960964252879145e+21
0.10347	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.64e-05			2.73e-06	7.5	4	3	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h24a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.12e+22		6.09e+21
0.11159	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	2.66e-05			2.82e-07	1.06	3	3	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h26b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.93e+22		6.29e+20
0.0085	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	5.91e-05			2.13e-06	3.61	4	4	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h2a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	1.32e+23		4.75e+21
0.0085	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.43e-05			2.02e-06	5.87	3	3	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h2b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.65e+22		4.5e+21
0.016	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study		Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	4.97e-05	5.74e-05	4.26e-05	3.7e-06	7.444668008048289		4347	19.8278	Basalt	HSDP2	205.0917	IE-BICEP	g	h4a		1.1081344870476116e+23		8.249693364338357e+21
0.2981	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study		Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	1.76e-05	2.33e-05	1.2e-05	2.825e-06	16.051136363636363		4347	19.8278	Basalt	HSDP2	205.0917	IE-BICEP	g	h59a		3.924178465198786e+22		6.298752366015096e+21
0.325	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	2.59e-05			3.66e-06	14.15	3	3	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h66b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.77e+22		8.16e+21
0.03	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.05e-05			1.3e-06	4.27	6	6	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h6a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	6.8e+22		2.9e+21
0.0354	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.83e-05			2.76e-06	7.2	4	4	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h7a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.54e+22		6.15e+21
0.3453	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.9e-05			2.01e-06	5.15	6	6	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h88a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.7e+22		4.48e+21
0.34599	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.15e-05			2.09e-06	6.65	4	4	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h89a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.02e+22		4.66e+21
0.0394	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.1e-05			4.71e-08	0.15	7	7	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h8a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	6.91e+22		1.05e+20
